	000001.sz	000002.sz	000009.sz	000024.sz	000039.sz	000069.sz	000400.sz	000401.sz	000402.sz	000425.sz	000536.sz	000562.sz	000581.sz	000598.sz	000623.sz	000629.sz	000630.sz	000656.sz	000686.sz	000728.sz
121	13.81	12.45	9.52	29.5	9.94	8.38	14.06	13.49	12.97	14.09	4.83	10.45	7.39	2.64	24.85	5.54	18.9	10.06	29.27	18.52
122	13.81	12.35	9.52	28.63	9.68	8.06	14.06	13.42	12.82	14.43	4.83	10.28	7.25	2.58	24.68	5.55	18.5	10.56	29.83	18.21
123	13.39	12.41	9.52	28.73	9.77	8.06	14.06	13.42	13.65	15.65	4.83	10.57	7.27	2.59	24.97	5.59	19.97	11	29.86	18.59
124	13.36	12.46	9.46	28.88	9.67	8.12	14.06	13.89	13.43	15.8	4.83	10.5	7.39	2.59	24.68	5.53	19.62	10.5	29.61	18.33
125	13.5	12.6	9.75	29.79	9.68	8.07	14.06	13.67	13.6	16.1	4.83	10.26	7.33	2.57	24.78	5.53	19.54	11.03	29	18.27
126	13.5	12.89	10.09	31.79	9.82	8.42	14.06	13.77	13.66	17.05	4.83	10.3	7.18	2.57	25.44	5.49	20	11.58	29.21	18.42
127	13.64	12.75	9.82	31.75	9.83	8.93	14.06	13.8	13.76	16.49	4.83	10.4	7.32	2.53	25.94	5.45	20.99	11.23	30.08	18.38
128	14.53	13.19	10.29	33.55	9.95	9.67	14.06	14.3	14.32	16.65	4.83	10.84	7.79	2.5	27	5.46	20.8	11.66	32.75	19
129	14.56	13.35	10.83	33.95	10.06	9.79	14.06	14.09	14.3	16.14	4.83	10.85	7.82	2.49	28.65	5.44	20.77	11.88	32.4	19.05
130	14.75	14.28	11.92	37.35	10.35	10.64	14.06	13.98	14.81	15.7	4.83	11.3	7.61	2.58	30.46	5.47	20.44	12.4	34.51	19.93
131	14.93	14.45	11.94	36.98	10.57	10.79	15.47	14.14	14.64	16.27	4.83	12.01	7.52	2.62	30.45	5.6	20.5	13.02	37.85	21.05
132	14.24	14.09	11.49	36	10.25	10.1	15.14	14.46	14	15.7	4.83	11.9	7.58	2.57	31.21	5.51	20.07	13.67	38.23	21.1
133	14.11	14.42	11.86	36.9	10.38	10.09	14.98	14.71	14.36	15.77	4.83	12.65	7.52	2.59	32.67	5.5	20.15	14.35	42.03	23.2
134	14.16	14.25	11.71	36.9	10.47	9.98	15.43	15.17	14.11	15.81	4.83	12.77	7.72	2.85	32.19	5.54	20.34	14.8	41.78	23.52
135	14.24	14.27	11.74	36.9	10.79	10.19	15.08	15.17	14.24	16	4.83	12.95	7.74	2.78	32.64	5.51	20.46	14.7	42.74	23.42
136	13.83	14.04	11.46	36.9	10.98	10.06	16.46	15.2	14.28	16.82	4.83	12.52	7.87	2.79	33.33	5.51	20.46	14.6	40.83	22.7
137	14.28	14.44	12.17	36.9	11.02	10.2	16.32	15.88	15.43	17.86	4.83	13.3	8.27	2.79	35.07	5.54	20.42	14.01	42.01	24.97
138	14.36	14.26	11.92	36.9	11.25	10.05	17.37	16.25	15.46	17.35	4.83	13.07	8.27	2.85	35.4	5.59	21.99	14.28	42.55	25.01
139	14.73	14.16	11.73	36.9	11.24	9.95	17.15	15.78	15.42	17.11	4.83	12.85	8.07	2.76	34.56	5.57	22.16	14.36	43.79	25.2
140	14.67	14.07	11.71	36.9	11.05	9.82	17.83	15.6	15.22	17.11	4.83	12.75	7.89	2.72	34.05	5.62	22.99	14.17	44	24.97
141	14.8	13.96	11.56	36.9	11.45	9.7	16.83	16.36	15.1	17.11	4.83	12.85	8	2.75	34.62	5.62	24.36	13.92	43.54	25.08
142	14.34	13.92	11.59	36.9	11.03	9.62	15.96	16.6	15.09	16.37	4.83	12.94	7.45	2.79	34.83	5.53	23.2	14.2	45.3	25.67
143	14.43	13.99	11.58	36.9	11.1	9.88	16.11	16.41	15.05	16.1	4.83	13.27	7.6	2.81	36.63	5.53	23.22	14.91	46.93	26.65
